feature_idx,abs_weight,posterior_var,norm_importance
170,1.0909435,0.17559111,1.0
492,1.0098248,0.16127977,0.9256435
378,0.997406,0.19727111,0.91426
506,0.8738805,0.15392448,0.8010319
304,0.8615932,0.14517605,0.7897689
135,0.83800554,0.1737796,0.7681475
238,0.83648616,0.16359428,0.7667548
121,0.833756,0.18519273,0.7642523
471,0.82110983,0.23371321,0.7526603
328,0.8152871,0.14915451,0.747323
357,0.7741428,0.17746657,0.70960855
119,0.7701804,0.15861742,0.7059765
4,0.7701683,0.17522548,0.7059654
233,0.7622434,0.1661844,0.6987011
365,0.7610368,0.15331094,0.6975951
432,0.7409358,0.17802523,0.6791698
382,0.74016243,0.17131233,0.67846084
469,0.7382037,0.18626247,0.6766654
123,0.73262966,0.1726951,0.67155606
193,0.72285557,0.15454638,0.6625967
49,0.7032408,0.16484824,0.6446171
379,0.69414634,0.17414041,0.6362808
18,0.6780508,0.16540344,0.621527
438,0.66900533,0.15031102,0.6132356
146,0.6673785,0.19056986,0.61174434
