genre,precision,recall,f1,accuracy
blues,0.7352941176470589,0.8928571428571429,0.8064516129032258,0.8928571428571429
classical,0.9583333333333334,0.8518518518518519,0.9019607843137255,0.8518518518518519
country,0.72,0.75,0.7346938775510204,0.75
disco,0.5882352941176471,0.7407407407407407,0.6557377049180327,0.7407407407407407
hiphop,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.5357142857142857
jazz,0.7878787878787878,0.9629629629629629,0.8666666666666667,0.9629629629629629
metal,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.7307692307692307
pop,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.8076923076923077
reggae,0.6666666666666666,0.6923076923076923,0.6792452830188679,0.6923076923076923
rock,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.4444444444444444
