feature_idx,abs_weight,posterior_var,norm_importance
8,0.6206203,0.024135014,1.0
150,0.39871746,0.019620243,0.6424499
322,0.38696423,0.022235788,0.623512
303,0.35941547,0.024029601,0.57912296
51,0.34892336,0.02531427,0.5622171
293,0.34288085,0.02407558,0.5524809
21,0.3373928,0.021652583,0.54363805
117,0.33089706,0.029911079,0.5331715
315,0.32003912,0.021792738,0.5156762
144,0.3061709,0.02435223,0.49333048
7,0.29922217,0.021827811,0.48213404
27,0.29461673,0.027948285,0.47471333
350,0.2821658,0.023624403,0.45465124
17,0.274714,0.025453316,0.4426442
245,0.27190986,0.025074229,0.43812594
72,0.2694271,0.029521555,0.43412548
135,0.26786694,0.023639368,0.43161163
240,0.25483295,0.020360418,0.41061008
10,0.25161266,0.028221183,0.40542126
229,0.24100786,0.022174012,0.38833383
131,0.24056257,0.025560714,0.38761634
299,0.2400744,0.025534658,0.38682973
59,0.23713371,0.022924209,0.38209143
286,0.22767624,0.022255423,0.3668527
298,0.22552925,0.025781611,0.36339328
