cfg,overall_accuracy,macro_precision,macro_recall,macro_f1,RRM,bayes_mae,bayes_mse,bayes_rmse,bayes_r2,blues_recall,blues_f1,blues_precision,blues_accuracy,classical_recall,classical_f1,classical_precision,classical_accuracy,country_recall,country_f1,country_precision,country_accuracy,disco_recall,disco_f1,disco_precision,disco_accuracy,hiphop_recall,hiphop_f1,hiphop_precision,hiphop_accuracy,jazz_recall,jazz_f1,jazz_precision,jazz_accuracy,metal_recall,metal_f1,metal_precision,metal_accuracy,pop_recall,pop_f1,pop_precision,pop_accuracy,reggae_recall,reggae_f1,reggae_precision,reggae_accuracy,rock_recall,rock_f1,rock_precision,rock_accuracy
0,0.781954887,0.791165708,0.781018519,0.780179409,-0.441,1.379382646,2.925505164,1.710410817,0.646742523,0.892857143,0.819672131,0.757575758,0.892857143,0.888888889,0.905660377,0.923076923,0.888888889,0.625,0.714285714,0.833333333,0.625,0.666666667,0.692307692,0.72,0.666666667,0.607142857,0.723404255,0.894736842,0.607142857,0.962962963,0.912280702,0.866666667,0.962962963,0.961538462,0.943396226,0.925925926,0.961538462,0.807692308,0.763636364,0.724137931,0.807692308,0.730769231,0.716981132,0.703703704,0.730769231,0.666666667,0.610169492,0.5625,0.666666667
1,0.244360902,0.242850548,0.243350631,0.237042631,-0.4351,0.883476791,1.789856784,1.337855292,0.783873081,0.214285714,0.244897959,0.285714286,0.214285714,0.481481481,0.472727273,0.464285714,0.481481481,0.125,0.142857143,0.166666667,0.125,0.37037037,0.263157895,0.204081633,0.37037037,0.071428571,0.097560976,0.153846154,0.071428571,0.259259259,0.24137931,0.225806452,0.259259259,0.153846154,0.150943396,0.148148148,0.153846154,0.269230769,0.233333333,0.205882353,0.269230769,0.192307692,0.227272727,0.277777778,0.192307692,0.296296296,0.296296296,0.296296296,0.296296296
2,0.744360902,0.747011991,0.74221103,0.738378171,0.2183,1.223625818,2.392394338,1.546736674,0.711116195,0.928571429,0.764705882,0.65,0.928571429,0.962962963,0.945454545,0.928571429,0.962962963,0.541666667,0.619047619,0.722222222,0.541666667,0.666666667,0.654545455,0.642857143,0.666666667,0.607142857,0.641509434,0.68,0.607142857,0.925925926,0.943396226,0.961538462,0.925925926,0.807692308,0.79245283,0.777777778,0.807692308,0.884615385,0.807017544,0.741935484,0.884615385,0.615384615,0.695652174,0.8,0.615384615,0.481481481,0.52,0.565217391,0.481481481
3,0.714285714,0.715166252,0.713893976,0.707452591,-0.1329,0.767524649,1.099438444,1.048541103,0.8672418,0.642857143,0.666666667,0.692307692,0.642857143,1,0.981818182,0.964285714,1,0.625,0.625,0.625,0.625,0.444444444,0.533333333,0.666666667,0.444444444,0.75,0.763636364,0.777777778,0.75,0.962962963,0.8,0.684210526,0.962962963,0.769230769,0.784313725,0.8,0.769230769,0.884615385,0.779661017,0.696969697,0.884615385,0.615384615,0.695652174,0.8,0.615384615,0.444444444,0.444444444,0.444444444,0.444444444
4,0.744360902,0.74361244,0.745563696,0.741186255,-0.0819,1.372970437,2.974152582,1.724573159,0.640868306,0.75,0.79245283,0.84,0.75,0.888888889,0.872727273,0.857142857,0.888888889,0.833333333,0.727272727,0.64516129,0.833333333,0.666666667,0.666666667,0.666666667,0.666666667,0.678571429,0.690909091,0.703703704,0.678571429,0.925925926,0.833333333,0.757575758,0.925925926,0.807692308,0.807692308,0.807692308,0.807692308,0.807692308,0.823529412,0.84,0.807692308,0.615384615,0.666666667,0.727272727,0.615384615,0.481481481,0.530612245,0.590909091,0.481481481
5,0.763157895,0.769672657,0.762998575,0.761615786,0.3437,1.211362368,2.304232373,1.517969819,0.721761823,0.892857143,0.793650794,0.714285714,0.892857143,0.814814815,0.88,0.956521739,0.814814815,0.708333333,0.723404255,0.739130435,0.708333333,0.703703704,0.690909091,0.678571429,0.703703704,0.607142857,0.68,0.772727273,0.607142857,0.962962963,0.852459016,0.764705882,0.962962963,0.769230769,0.833333333,0.909090909,0.769230769,0.884615385,0.836363636,0.793103448,0.884615385,0.730769231,0.76,0.791666667,0.730769231,0.555555556,0.566037736,0.576923077,0.555555556
6,0.736842105,0.747629121,0.736589337,0.735170009,0.5118,1.20902459,2.324981127,1.524788879,0.719256401,0.821428571,0.793103448,0.766666667,0.821428571,0.888888889,0.923076923,0.96,0.888888889,0.666666667,0.666666667,0.666666667,0.666666667,0.481481481,0.590909091,0.764705882,0.481481481,0.607142857,0.62962963,0.653846154,0.607142857,0.925925926,0.877192982,0.833333333,0.925925926,0.807692308,0.857142857,0.913043478,0.807692308,0.884615385,0.766666667,0.676470588,0.884615385,0.615384615,0.666666667,0.727272727,0.615384615,0.666666667,0.580645161,0.514285714,0.666666667
7,0.127819549,0.118051114,0.126577127,0.121334798,0.3655,1.40385401,3.515074959,1.874853317,0.575551391,0.25,0.225806452,0.205882353,0.25,0,0,0,0,0,0,0,0,0.185185185,0.185185185,0.185185185,0.185185185,0.035714286,0.040816327,0.047619048,0.035714286,0.222222222,0.203389831,0.1875,0.222222222,0.230769231,0.230769231,0.230769231,0.230769231,0.038461538,0.041666667,0.045454545,0.038461538,0.192307692,0.2,0.208333333,0.192307692,0.111111111,0.085714286,0.069767442,0.111111111
8,0.759398496,0.759960993,0.758480871,0.757341379,0.1821,1.244999511,2.477105439,1.573882282,0.700887203,0.821428571,0.793103448,0.766666667,0.821428571,0.925925926,0.943396226,0.961538462,0.925925926,0.625,0.666666667,0.714285714,0.625,0.740740741,0.740740741,0.740740741,0.740740741,0.571428571,0.603773585,0.64,0.571428571,0.962962963,0.896551724,0.838709677,0.962962963,0.769230769,0.816326531,0.869565217,0.769230769,0.884615385,0.836363636,0.793103448,0.884615385,0.653846154,0.68,0.708333333,0.653846154,0.62962963,0.596491228,0.566666667,0.62962963
9,0.733082707,0.736042115,0.732860195,0.728960914,0.6209,1.1274003,2.005722039,1.416235164,0.757807195,0.821428571,0.71875,0.638888889,0.821428571,0.814814815,0.830188679,0.846153846,0.814814815,0.625,0.652173913,0.681818182,0.625,0.62962963,0.693877551,0.772727273,0.62962963,0.642857143,0.72,0.818181818,0.642857143,0.888888889,0.857142857,0.827586207,0.888888889,0.807692308,0.823529412,0.84,0.807692308,0.884615385,0.779661017,0.696969697,0.884615385,0.769230769,0.714285714,0.666666667,0.769230769,0.444444444,0.5,0.571428571,0.444444444
