feature_idx,abs_weight,posterior_var,norm_importance
71,0.70150524,0.043782394,1.0
179,0.65420514,0.040044945,0.93257344
204,0.6512733,0.038649227,0.9283941
87,0.6338388,0.042042743,0.903541
61,0.6321092,0.044820335,0.90107554
117,0.5578728,0.0331267,0.795251
3,0.5285496,0.04706256,0.7534507
154,0.52752537,0.042060647,0.7519906
90,0.52565545,0.041631058,0.74932504
9,0.5146524,0.04492833,0.7336401
48,0.49108976,0.036087982,0.7000514
150,0.48749042,0.04519553,0.69492054
82,0.46823925,0.04490948,0.6674779
28,0.46215287,0.040804267,0.65880173
1,0.4529724,0.04044342,0.64571494
231,0.43673345,0.043629237,0.6225662
69,0.42411402,0.04250506,0.6045771
194,0.41333234,0.045351736,0.58920777
175,0.4093516,0.03665694,0.58353317
81,0.39873594,0.044682298,0.5684005
235,0.39599475,0.05653234,0.56449294
177,0.39372727,0.044369064,0.56126064
34,0.38765264,0.03426438,0.5526012
247,0.38379765,0.042332835,0.5471059
230,0.38054237,0.042984813,0.54246545
