feature_idx,abs_weight,posterior_var,norm_importance
363,0.37132353,0.01656365,1.0
209,0.3089565,0.01760139,0.83204126
361,0.30276757,0.019144109,0.8153741
109,0.29464072,0.017463982,0.7934879
298,0.28249127,0.017771784,0.7607686
321,0.26299265,0.018242745,0.70825744
74,0.25386587,0.018766519,0.6836784
348,0.251615,0.016034858,0.6776166
126,0.2476218,0.017547037,0.66686267
288,0.24285883,0.019464757,0.6540357
9,0.24020305,0.015298016,0.6468835
70,0.23826976,0.018187398,0.64167696
327,0.23621838,0.019753497,0.63615245
2,0.23496196,0.018163214,0.63276887
52,0.2336825,0.019907657,0.6293232
146,0.23046108,0.01622077,0.62064767
17,0.22282021,0.019512517,0.60007024
256,0.21800828,0.019991983,0.5871114
69,0.2121432,0.018566448,0.57131636
87,0.21168661,0.017898103,0.5700867
279,0.20927875,0.019009935,0.56360215
181,0.20618932,0.017290222,0.5552821
67,0.20232752,0.019770866,0.54488206
156,0.20138215,0.019480422,0.5423361
7,0.20132984,0.019407455,0.5421952
