genre,precision,recall,f1,accuracy
blues,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
classical,0.9545454545454546,0.7777777777777778,0.8571428571428571,0.7777777777777778
country,0.64,0.6666666666666666,0.6530612244897959,0.6666666666666666
disco,0.8235294117647058,0.5185185185185185,0.6363636363636364,0.5185185185185185
hiphop,0.9333333333333333,0.5,0.6511627906976745,0.5
jazz,0.6046511627906976,0.9629629629629629,0.7428571428571429,0.9629629629629629
metal,0.9523809523809523,0.7692307692307693,0.851063829787234,0.7692307692307693
pop,0.6875,0.8461538461538461,0.7586206896551724,0.8461538461538461
reggae,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.6153846153846154
rock,0.525,0.7777777777777778,0.6268656716417911,0.7777777777777778
